Date,Month,Device,Channel,Campaign Type,Media Type,Region,Targeting,Cost,Clicks
1/7/2013,1,Desktop,Google,Reach,Display,APAC  ,Reach,159.18,202
1/7/2013,1,Mobile,Google,Legacy,Display,AMS,Reach,129.04,1052
1/7/2013,1,Tablet,Google,Reach,Display,Global,Reach,249.38,200
1/8/2013,1,Mobile,Google,Reach,Display,APAC  ,Reach,20.06,18
1/9/2013,1,Desktop,Google,Legacy,Display,AMS,Reach,300.24,1652
1/9/2013,1,Desktop,Google,Reach,Display,Global,Reach,722.76,368
1/9/2013,1,Mobile,Google,Legacy,Display,AMS,Reach,24.62,216
1/9/2013,1,Tablet,Google,Managed,Display,EMEA,Reach,127.12,722
1/9/2013,1,Tablet,Google,Reach,Display,Global,Reach,295.08,232
1/10/2013,1,Desktop,Google,Reach,Display,EMEA  ,Reach,296.16,186
1/10/2013,1,Mobile,Google,Reach,Display,APAC  ,Reach,3.48,12
1/11/2013,1,Desktop,Google,Legacy,Display,AMS,Reach,786.18,5060
1/11/2013,1,Desktop,Google,Managed,Display,EMEA,Reach,3165.08,9690
1/11/2013,1,Desktop,Google,Reach,Display,Global,Reach,570.8,300
1/11/2013,1,Tablet,Google,Managed,Display,EMEA,Reach,150.14,764
1/12/2013,1,Desktop,Google,Reach,Display,EMEA  ,Reach,259.48,196
1/12/2013,1,Mobile,Google,Reach,Display,Global,Reach,900.7,1298
1/12/2013,1,Tablet,Google,Reach,Display,AMS,Reach,230.778,2652
1/13/2013,1,Desktop,Google,Managed,Display,EMEA,Reach,3024.92,10630
1/13/2013,1,Mobile,Google,Reach,Display,EMEA  ,Reach,66.26,84
1/13/2013,1,Tablet,Google,Remarketing,Display,Global,Remarketing,9.56,58
1/14/2013,1,Desktop,Google,Reach,Display,AMS,Reach,4818.226,16918
1/14/2013,1,Mobile,Google,Managed,Display,EMEA,Reach,440.62,2884
1/14/2013,1,Mobile,Google,Reach,Display,Global,Reach,741.98,922
1/14/2013,1,Tablet,Google,Reach,Display,AMS,Reach,179.116,2174
1/14/2013,1,Unknown,Google,Managed,Display,EMEA,Reach,0.88,2
1/15/2013,1,Mobile,Google,Reach,Display,EMEA  ,Reach,44.68,58
1/15/2013,1,Tablet,Google,Remarketing,Display,Global,Remarketing,13.02,68
1/16/2013,1,Desktop,Google,Reach,Display,AMS,Reach,3841.19,17696
1/16/2013,1,Mobile,Google,Managed,Display,EMEA,Reach,235.1,1816
1/16/2013,1,Unknown,Google,Managed,Display,EMEA,Reach,0.8,4
1/17/2013,1,Mobile,Google,Reach,Display,AMS,Reach,504.006,6914
1/18/2013,1,Tablet,Google,Reach,Display,APAC  ,Reach,6.12,8
1/19/2013,1,Mobile,Google,Reach,Display,AMS,Reach,391.89,6088
1/19/2013,1,Tablet,Google,Legacy,Display,AMS,Reach,213.02,1088
1/19/2013,1,Unknown,Google,Reach,Display,AMS,Reach,0.368,4
1/20/2013,1,Desktop,Google,Reach,Display,APAC  ,Reach,147.9,290
1/20/2013,1,Desktop,Google,Remarketing,Display,Global,Remarketing,381.96,1894
1/20/2013,1,Mobile,Google,Remarketing,Display,Global,Remarketing,13.72,96
1/20/2013,1,Tablet,Google,Reach,Display,APAC  ,Reach,5.78,10
1/20/2013,1,Tablet,Google,Reach,Display,EMEA  ,Reach,22.16,18
1/21/2013,1,Tablet,Google,Legacy,Display,AMS,Reach,207.58,1022
1/22/2013,1,Desktop,Google,Reach,Display,APAC  ,Reach,178.52,334
1/22/2013,1,Desktop,Google,Remarketing,Display,Global,Remarketing,396.3,1818
1/22/2013,1,Mobile,Google,Remarketing,Display,Global,Remarketing,5.72,44
1/22/2013,1,Tablet,Google,Reach,Display,EMEA  ,Reach,20.16,8
1/22/2013,1,Tablet,Google,Reach,Display,Global,Reach,178.04,136
1/23/2013,1,Mobile,Google,Reach,Display,APAC  ,Reach,7.16,12
1/24/2013,1,Desktop,Google,Reach,Display,APAC  ,Reach,211.76,354
1/24/2013,1,Mobile,Google,Legacy,Display,AMS,Reach,331.7,2416
1/1/2013,1,Desktop,Google,Reach,Display,EMEA  ,Reach,180.8,156
1/1/2013,1,Mobile,Google,Reach,Display,APAC  ,Reach,7,16
1/1/2013,1,Tablet,Google,Managed,Display,EMEA,Reach,122.04,876
1/2/2013,1,Desktop,Google,Reach,Display,EMEA  ,Reach,251,180
1/2/2013,1,Desktop,Google,Reach,Display,Global,Reach,638.34,312
1/2/2013,1,Tablet,Google,Managed,Display,EMEA,Reach,103.64,776
1/2/2013,1,Tablet,Google,Reach,Display,AMS,Reach,257.382,4032
1/3/2013,1,Desktop,Google,Legacy,Display,AMS,Reach,4762.04,30106
1/3/2013,1,Desktop,Google,Reach,Display,Global,Reach,520.2,264
1/3/2013,1,Mobile,Google,Reach,Display,EMEA  ,Reach,116.18,202
1/3/2013,1,Mobile,Google,Reach,Display,Global,Reach,776.74,942
1/3/2013,1,Tablet,Google,Reach,Display,AMS,Reach,238.87,3600
1/4/2013,1,Mobile,Google,Reach,Display,Global,Reach,835.76,966
1/5/2013,1,Desktop,Google,Managed,Display,EMEA,Reach,2336.56,8544
1/6/2013,1,Desktop,Google,Managed,Display,EMEA,Reach,2038.36,7660
1/6/2013,1,Desktop,Google,Reach,Display,AMS,Reach,4377.538,18036
1/6/2013,1,Mobile,Google,Managed,Display,EMEA,Reach,269.8,2592
1/6/2013,1,Mobile,Google,Reach,Display,EMEA  ,Reach,97.34,156
1/6/2013,1,Tablet,Google,Reach,Display,AMS,Reach,277.058,4452
